GeneID,Symbol,Description,dirsign,BCC count,BCC proportion,SCC count,SCC proportion,Proportion_Test Rank,HG_Test Rank,StudentT Rank,Minimal Rank
388585,HES5,hes family bHLH transcription factor 5,DOWN,14.0,0.56,9.0,0.9,2216.0,1819.0,17737.0,1819.0
115110,TNFRSF14-AS1,TNFRSF14 antisense RNA 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,12782.0,8415.0
8764,TNFRSF14,TNF receptor superfamily member 14,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,12164.0,8415.0
127281,PRXL2B,peroxiredoxin like 2B,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,4448.0,4448.0
79258,MMEL1,membrane metalloendopeptidase like 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,5540.0,5540.0
105378597,MMEL1-AS1,MMEL1 antisense RNA 1,UP,8.0,0.32,1.0,0.1,3971.0,3124.0,16218.0,3124.0
100287898,TTC34,tetratricopeptide repeat domain 34,UP,23.0,0.92,8.0,0.8,4808.0,4879.0,13714.0,4808.0
140625,ACTRT2,actin related protein T2,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
440556,PRDM16-DT,PRDM16 divergent transcript,UP,15.0,0.6,4.0,0.4,4763.0,3725.0,17848.0,3725.0
63976,PRDM16,PR/SET domain 16,DOWN,21.0,0.84,10.0,1.0,4034.0,3562.0,14041.0,3562.0
100422968,MIR4251,microRNA 4251,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
27237,ARHGEF16,Rho guanine nucleotide exchange factor 16,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,17982.0,8415.0
1953,MEGF6,multiple EGF like domains 6,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,259.0,259.0
693135,MIR551A,microRNA 551a,UP,1.0,0.04,0.0,0.0,6520.0,7696.0,19787.0,6520.0
127262,TPRG1L,tumor protein p63 regulated 1 like,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,14381.0,8415.0
49856,WRAP73,"WD repeat containing, antisense to TP73",DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,11045.0,8415.0
7161,TP73,tumor protein p73,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,2561.0,2561.0
105378610,TP73-AS3,TP73 antisense RNA 3,UP,3.0,0.12,1.0,0.1,8201.0,7590.0,22410.0,7590.0
57212,TP73-AS1,TP73 antisense RNA 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,389.0,389.0
148870,CCDC27,coiled-coil domain containing 27,UP,20.0,0.8,1.0,0.1,275.0,254.0,7510.0,254.0
388588,SMIM1,small integral membrane protein 1 (Vel blood group),UP,18.0,0.72,6.0,0.6,6048.0,5374.0,17569.0,5374.0
57470,LRRC47,leucine rich repeat containing 47,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,7598.0,7598.0
9731,CEP104,centrosomal protein 104,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,10349.0,8415.0
1677,DFFB,DNA fragmentation factor subunit beta,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,6010.0,6010.0
55966,AJAP1,adherens junctions associated protein 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,21127.0,8415.0
100616421,MIR4689,microRNA 4689,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
261734,NPHP4,nephrocystin 4,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,3412.0,3412.0
8514,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,5529.0,5529.0
26038,CHD5,chromodomain helicase DNA binding protein 5,UP,25.0,1.0,7.0,0.7,890.0,1230.0,7788.0,890.0
6146,RPL22,ribosomal protein L22,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,3037.0,3037.0
102724450,RNF207-AS1,RNF207 antisense RNA 1,UP,8.0,0.32,3.0,0.3,8331.0,7210.0,22089.0,7210.0
388591,RNF207,ring finger protein 207,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,22343.0,8415.0
23463,ICMT,isoprenylcysteine carboxyl methyltransferase,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,22025.0,8415.0
148645,ICMT-DT,ICMT divergent transcript,DOWN,13.0,0.52,10.0,1.0,1162.0,844.0,7544.0,844.0
390992,HES3,hes family bHLH transcription factor 3,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
387509,GPR153,G protein-coupled receptor 153,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,21159.0,8415.0
11332,ACOT7,acyl-CoA thioesterase 7,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,12559.0,8415.0
54626,HES2,hes family bHLH transcription factor 2,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,11890.0,8415.0
83715,ESPN,espin,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,18806.0,8415.0
100422975,MIR4252,microRNA 4252,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
8718,TNFRSF25,TNF receptor superfamily member 25,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,17506.0,8415.0
57449,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,18136.0,8415.0
79707,NOL9,nucleolar protein 9,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,5969.0,5969.0
80835,TAS1R1,taste 1 receptor member 1,UP,21.0,0.84,3.0,0.3,701.0,651.0,8401.0,651.0
3104,ZBTB48,zinc finger and BTB domain containing 48,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,2602.0,2602.0
9903,KLHL21,kelch like family member 21,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,17923.0,8415.0
148479,PHF13,PHD finger protein 13,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,3199.0,3199.0
90326,THAP3,THAP domain containing 3,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,7799.0,7799.0
55735,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,16602.0,8415.0
110841581,CAMTA1-DT,CAMTA1 divergent transcript,UP,8.0,0.32,2.0,0.2,5755.0,5414.0,21091.0,5414.0
23261,CAMTA1,calmodulin binding transcription activator 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,6193.0,6193.0
102725193,CAMTA1-AS2,CAMTA1 antisense RNA 2,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
101928836,CAMTA1-AS1,CAMTA1 antisense RNA 1,UP,3.0,0.12,0.0,0.0,4480.0,5128.0,17359.0,4480.0
9341,VAMP3,vesicle associated membrane protein 3,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,22691.0,8415.0
8863,PER3,period circadian regulator 3,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,10752.0,8415.0
10911,UTS2,urotensin 2,DOWN,19.0,0.76,9.0,0.9,5040.0,4997.0,14302.0,4997.0
3604,TNFRSF9,TNF receptor superfamily member 9,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,14706.0,8415.0
11315,PARK7,Parkinsonism associated deglycase,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,7538.0,7538.0
54206,ERRFI1,ERBB receptor feedback inhibitor 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,8197.0,8197.0
50651,SLC45A1,solute carrier family 45 member 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,2685.0,2685.0
473,RERE,arginine-glutamic acid dipeptide repeats,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,263.0,263.0
102724552,RERE-AS1,RERE antisense RNA 1,UP,10.0,0.4,2.0,0.2,4730.0,3541.0,17241.0,3541.0
106632271,SNORD128,"small nucleolar RNA, C/D box 128",DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
2023,ENO1,enolase 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,7869.0,7869.0
102465436,MIR6728,microRNA 6728,DOWN,2.0,0.08,3.0,0.3,2628.0,2733.0,12994.0,2628.0
100505975,ENO1-AS1,ENO1 antisense RNA 1,UP,10.0,0.4,2.0,0.2,4730.0,3541.0,15732.0,3541.0
765,CA6,carbonic anhydrase 6,UP,24.0,0.96,8.0,0.8,3793.0,3177.0,16969.0,3177.0
155184,SLC2A7,solute carrier family 2 member 7,DOWN,1.0,0.04,1.0,0.1,5896.0,5972.0,19478.0,5896.0
6518,SLC2A5,solute carrier family 2 member 5,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,19773.0,8415.0
80045,GPR157,G protein-coupled receptor 157,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,11360.0,8415.0
106614088,MIR34AHG,MIR34A host gene,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,14452.0,8415.0
407040,MIR34A,microRNA 34a,UP,2.0,0.08,0.0,0.0,5213.0,6275.0,18335.0,5213.0
102724571,LNCTAM34A,long non coding transcriptional activator of miR34a,DOWN,24.0,0.96,10.0,1.0,6236.0,7696.0,20596.0,6236.0
9563,H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,954.0,954.0
80176,SPSB1,splA/ryanodine receptor domain and SOCS box containing 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,22118.0,8415.0
84275,SLC25A33,solute carrier family 25 member 33,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,3388.0,3388.0
199953,TMEM201,transmembrane protein 201,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,5612.0,5612.0
5293,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,20549.0,8415.0
644997,PIK3CD-AS1,PIK3CD antisense RNA 1,DOWN,3.0,0.12,2.0,0.2,7154.0,5780.0,17554.0,5780.0
101929074,PIK3CD-AS2,PIK3CD antisense RNA 2,UP,25.0,1.0,7.0,0.7,890.0,1230.0,2979.0,890.0
22883,CLSTN1,calsyntenin 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,16491.0,8415.0
56998,CTNNBIP1,catenin beta interacting protein 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,17572.0,8415.0
84328,LZIC,leucine zipper and CTNNBIP1 domain containing,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,6824.0,6824.0
64802,NMNAT1,nicotinamide nucleotide adenylyltransferase 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,18672.0,8415.0
113391335,TMEM274P,"transmembrane protein 274, pseudogene",UP,1.0,0.04,0.0,0.0,6520.0,7696.0,19787.0,6520.0
100847055,MIR5697,microRNA 5697,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
116362,RBP7,retinol binding protein 7,UP,25.0,1.0,7.0,0.7,890.0,1230.0,12262.0,890.0
10277,UBE4B,ubiquitination factor E4B,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,11332.0,8415.0
23095,KIF1B,kinesin family member 1B,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,6892.0,6892.0
5226,PGD,phosphogluconate dehydrogenase,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,20958.0,8415.0
100526739,CENPS-CORT,CENPS-CORT readthrough,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,7704.0,7704.0
378708,CENPS,centromere protein S,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,7748.0,7748.0
1325,CORT,cortistatin,UP,23.0,0.92,7.0,0.7,2584.0,2689.0,12478.0,2584.0
1676,DFFA,DNA fragmentation factor subunit alpha,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,13970.0,8415.0
5195,PEX14,peroxisomal biogenesis factor 14,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,13626.0,8415.0
54897,CASZ1,castor zinc finger 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,1309.0,1309.0
23435,TARDBP,TAR DNA binding protein,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,5927.0,5927.0
10747,MASP2,MBL associated serine protease 2,UP,25.0,1.0,9.0,0.9,2891.0,4101.0,4718.0,2891.0
6723,SRM,spermidine synthase,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,14761.0,8415.0
5394,EXOSC10,exosome component 10,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,13675.0,8415.0
105376736,EXOSC10-AS1,EXOSC10 antisense RNA 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,13281.0,8415.0
2475,MTOR,mechanistic target of rapamycin kinase,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,18675.0,8415.0
100873935,MTOR-AS1,MTOR antisense RNA 1,UP,23.0,0.92,8.0,0.8,4808.0,4879.0,14872.0,4808.0
10218,ANGPTL7,angiopoietin like 7,UP,21.0,0.84,3.0,0.3,701.0,651.0,8541.0,651.0
29914,UBIAD1,UbiA prenyltransferase domain containing 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,11023.0,8415.0
57540,DISP3,dispatched RND transporter family member 3,UP,22.0,0.88,5.0,0.5,1340.0,1429.0,8298.0,1340.0
26232,FBXO2,F-box protein 2,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,20784.0,8415.0
93611,FBXO44,F-box protein 44,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,2802.0,2802.0
26270,FBXO6,F-box protein 6,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,12598.0,8415.0
10459,MAD2L2,mitotic arrest deficient 2 like 2,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,5711.0,5711.0
374946,DRAXIN,dorsal inhibitory axon guidance protein,UP,25.0,1.0,8.0,0.8,1508.0,2037.0,2781.0,1508.0
57085,AGTRAP,angiotensin II receptor associated protein,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,16757.0,8415.0
102724659,C1orf167-AS1,C1orf167 antisense RNA 1,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
4524,MTHFR,methylenetetrahydrofolate reductase,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,22384.0,8415.0
1185,CLCN6,chloride voltage-gated channel 6,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,2083.0,2083.0
100379251,NPPA-AS1,NPPA antisense RNA 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,7171.0,7171.0
4878,NPPA,natriuretic peptide A,UP,20.0,0.8,7.0,0.7,7088.0,5470.0,17724.0,5470.0
4879,NPPB,natriuretic peptide B,UP,9.0,0.36,0.0,0.0,1854.0,1497.0,13781.0,1497.0
26829,RNU5E-1,"RNA, U5E small nuclear 1",UP,7.0,0.28,2.0,0.2,7363.0,5925.0,19082.0,5925.0
90231,KIAA2013,KIAA2013,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,15113.0,8415.0
5351,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,14299.0,8415.0
9927,MFN2,mitofusin 2,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,17030.0,8415.0
60672,MIIP,migration and invasion inhibitory protein,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,13778.0,8415.0
102466982,MIR6729,microRNA 6729,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
943,TNFRSF8,TNF receptor superfamily member 8,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,17274.0,8415.0
102465836,MIR7846,microRNA 7846,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
7133,TNFRSF1B,TNF receptor superfamily member 1B,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,22398.0,8415.0
100616438,MIR4632,microRNA 4632,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
55187,VPS13D,vacuolar protein sorting 13 homolog D,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,12951.0,8415.0
677885,SNORA59A,"small nucleolar RNA, H/ACA box 59A",DOWN,9.0,0.36,4.0,0.4,7884.0,6914.0,20953.0,6914.0
9249,DHRS3,dehydrogenase/reductase 3,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,21210.0,8415.0
102466722,MIR6730,microRNA 6730,UP,2.0,0.08,0.0,0.0,5213.0,6275.0,18335.0,5213.0
